date,R-XGB
1997-02-28,137.70186
1997-03-31,197.13622
1997-04-30,304.12494
1997-05-31,787.31323
1997-06-30,787.8223
1997-07-31,893.04443
1997-08-31,730.2238
1997-09-30,527.6402
1997-10-31,549.6147
1997-11-30,337.96378
1997-12-31,188.59174
1998-01-31,137.53006
1998-02-28,140.90816
1998-03-31,193.50618
1998-04-30,389.05695
1998-05-31,580.0912
1998-06-30,558.5847
1998-07-31,1097.9697
1998-08-31,1241.2664
1998-09-30,1171.3634
1998-10-31,899.919
1998-11-30,490.35388
1998-12-31,241.0222
1999-01-31,175.66136
1999-02-28,189.1847
1999-03-31,234.68617
1999-04-30,293.22946
1999-05-31,372.47052
1999-06-30,1510.9617
1999-07-31,2337.9749
1999-08-31,1416.9701
1999-09-30,895.47784
1999-10-31,1127.7769
1999-11-30,603.42883
1999-12-31,269.50662
2000-01-31,184.24127
2000-02-29,174.48816
2000-03-31,217.78973
2000-04-30,368.95786
2000-05-31,458.70465
2000-06-30,1018.3043
2000-07-31,832.0027
2000-08-31,761.0042
2000-09-30,847.12286
2000-10-31,739.15393
2000-11-30,384.8781
2000-12-31,201.77174
2001-01-31,145.06107
2001-02-28,143.0114
2001-03-31,184.27432
2001-04-30,313.8499
2001-05-31,474.4894
2001-06-30,793.2848
2001-07-31,667.026
2001-08-31,583.53186
2001-09-30,742.4949
2001-10-31,847.6561
2001-11-30,407.6944
2001-12-31,205.47957
2002-01-31,146.62575
2002-02-28,148.8621
2002-03-31,177.33545
2002-04-30,241.9447
2002-05-31,319.8357
2002-06-30,786.8127
2002-07-31,895.1978
2002-08-31,534.5465
2002-09-30,363.13177
2002-10-31,363.9542
2002-11-30,234.03828
2002-12-31,167.17682
2003-01-31,149.48712
2003-02-28,162.8297
2003-03-31,173.23007
2003-04-30,240.89404
2003-05-31,371.49884
2003-06-30,615.2757
2003-07-31,859.47034
2003-08-31,1237.1156
2003-09-30,1501.7521
2003-10-31,1038.2855
2003-11-30,488.83246
2003-12-31,224.31569
2004-01-31,160.04614
2004-02-29,155.04858
2004-03-31,205.99864
2004-04-30,238.07599
2004-05-31,332.9983
2004-06-30,657.3543
2004-07-31,816.4669
2004-08-31,934.6762
2004-09-30,1109.9485
2004-10-31,934.8257
2004-11-30,489.12256
2004-12-31,236.89307
2005-01-31,171.52773
2005-02-28,156.79237
2005-03-31,205.704
2005-04-30,347.24805
2005-05-31,624.4713
2005-06-30,845.3417
2005-07-31,1871.9512
2005-08-31,1579.4275
2005-09-30,1336.6617
2005-10-31,1707.2477
2005-11-30,669.3974
2005-12-31,300.329
2006-01-31,225.9924
2006-02-28,220.76503
2006-03-31,246.4577
2006-04-30,312.3512
2006-05-31,381.1682
2006-06-30,611.40063
2006-07-31,830.5015
2006-08-31,598.8823
2006-09-30,764.63086
2006-10-31,736.5775
2006-11-30,383.29947
2006-12-31,215.21822
2007-01-31,155.91278
2007-02-28,157.43977
2007-03-31,213.5621
2007-04-30,292.72403
2007-05-31,328.30594
2007-06-30,1280.521
2007-07-31,1546.3761
2007-08-31,970.4377
2007-09-30,1087.1815
2007-10-31,888.5097
2007-11-30,500.2599
2007-12-31,246.2657
2008-01-31,179.66437
2008-02-29,160.2262
2008-03-31,252.59009
2008-04-30,366.3011
2008-05-31,369.30215
2008-06-30,462.58105
2008-07-31,850.3151
2008-08-31,1189.5991
2008-09-30,927.7776
2008-10-31,1172.7328
2008-11-30,609.0481
2008-12-31,289.44644
2009-01-31,200.73227
2009-02-28,217.1824
2009-03-31,279.23685
2009-04-30,446.5512
2009-05-31,716.8058
2009-06-30,1108.5161
2009-07-31,1715.2979
2009-08-31,1578.9396
2009-09-30,1512.7471
2009-10-31,1352.5549
2009-11-30,725.27936
2009-12-31,403.99786
2010-01-31,244.60725
2010-02-28,241.97212
2010-03-31,299.59766
2010-04-30,328.54526
2010-05-31,363.33105
2010-06-30,1004.03174
2010-07-31,2198.1995
2010-08-31,990.832
2010-09-30,766.31635
2010-10-31,652.01746
2010-11-30,460.45563
2010-12-31,225.20386
2011-01-31,191.14781
2011-02-28,176.48767
2011-03-31,230.9538
2011-04-30,377.16562
2011-05-31,486.38663
2011-06-30,1131.978
2011-07-31,1555.406
2011-08-31,910.5396
2011-09-30,987.2485
2011-10-31,1135.1768
2011-11-30,637.1046
2011-12-31,334.7022
2012-01-31,241.95494
2012-02-29,244.6141
2012-03-31,302.01227
2012-04-30,521.29803
2012-05-31,812.69293
2012-06-30,1099.0078
2012-07-31,2409.5728
2012-08-31,2384.3262
2012-09-30,1101.0055
2012-10-31,897.7238
2012-11-30,485.2659
2012-12-31,265.60922
2013-01-31,249.91803
2013-02-28,274.64548
2013-03-31,331.27686
2013-04-30,315.31464
2013-05-31,651.25073
2013-06-30,902.33105
2013-07-31,1565.5498
2013-08-31,1186.4138
2013-09-30,837.1187
2013-10-31,647.0446
2013-11-30,360.80594
2013-12-31,202.30225
2014-01-31,178.4312
2014-02-28,179.95752
2014-03-31,241.07501
2014-04-30,356.9618
2014-05-31,466.2652
2014-06-30,929.9593
2014-07-31,976.37427
2014-08-31,1016.0713
2014-09-30,1499.9951
2014-10-31,1051.0808
2014-11-30,463.64362
2014-12-31,278.03613
2015-01-31,220.66695
2015-02-28,214.27736
2015-03-31,271.2782
2015-04-30,312.16437
2015-05-31,341.97064
2015-06-30,755.6161
2015-07-31,1343.8647
2015-08-31,578.59
2015-09-30,669.8044
2015-10-31,744.13525
2015-11-30,378.15555
2015-12-31,213.60461
2016-01-31,161.30542
2016-02-29,154.74554
2016-03-31,211.35802
2016-04-30,320.25522
2016-05-31,478.80496
2016-06-30,630.81476
2016-07-31,804.77527
2016-08-31,606.05396
2016-09-30,662.08124
2016-10-31,823.9478
2016-11-30,449.10663
2016-12-31,233.72546
2017-01-31,159.04248
2017-02-28,163.85425
2017-03-31,205.67705
2017-04-30,321.86603
2017-05-31,429.15356
2017-06-30,933.9734
2017-07-31,663.8303
2017-08-31,544.6137
2017-09-30,1186.3385
2017-10-31,1552.5957
2017-11-30,750.61414
2017-12-31,332.15533
2018-01-31,203.04617
2018-02-28,185.80994
2018-03-31,231.39088
2018-04-30,442.5729
2018-05-31,841.5848
2018-06-30,1111.8674
2018-07-31,2377.2292
2018-08-31,1386.2782
2018-09-30,2135.8972
2018-10-31,1463.1195
2018-11-30,735.24207
2018-12-31,398.37402
2019-01-31,270.22205
2019-02-28,274.7873
2019-03-31,305.5921
2019-04-30,544.6818
2019-05-31,856.7
2019-06-30,1678.4987
2019-07-31,2185.2537
2019-08-31,1500.6294
2019-09-30,1752.8706
2019-10-31,1454.563
2019-11-30,782.4209
2019-12-31,382.90143
