date,flow_{t+1},E-CNN
2013-12-31,561.9354838709677,313.73877
2014-01-31,555.483870967742,245.23463
2014-02-28,457.6071428571428,276.46832
2014-03-31,526.2258064516129,327.26883
2014-04-30,453.66666666666674,450.72192
2014-05-31,600.0322580645161,668.87463
2014-06-30,650.8333333333334,1144.2056
2014-07-31,686.1612903225806,1919.7244
2014-08-31,729.0967741935484,1683.0055
2014-09-30,722.7666666666667,1977.2449
2014-10-31,566.9032258064516,1420.8164
2014-11-30,613.7333333333333,643.35547
2014-12-31,520.258064516129,328.72162
2015-01-31,462.87096774193554,271.28467
2015-02-28,450.7142857142857,278.68558
2015-03-31,565.0,333.036
2015-04-30,544.1666666666666,402.48407
2015-05-31,574.2258064516129,488.4817
2015-06-30,551.3,952.04236
2015-07-31,748.1612903225806,1411.4291
2015-08-31,659.8064516129032,880.5509
2015-09-30,574.3333333333334,894.38385
2015-10-31,530.6129032258065,1395.6334
2015-11-30,551.6333333333333,612.8012
2015-12-31,447.61290322580646,317.62982
2016-01-31,466.741935483871,278.8912
2016-02-29,437.86206896551727,277.2282
2016-03-31,522.4516129032259,284.9722
2016-04-30,461.23333333333335,355.03482
2016-05-31,531.1935483870968,538.8389
2016-06-30,482.3333333333333,881.8247
2016-07-31,639.0645161290323,1171.1498
2016-08-31,447.41935483870964,944.48615
2016-09-30,300.43333333333334,1038.092
2016-10-31,336.38709677419354,1293.5864
2016-11-30,349.33333333333326,704.4897
2016-12-31,274.96774193548384,322.1468
2017-01-31,308.93548387096774,265.96838
2017-02-28,380.6071428571427,292.13834
2017-03-31,425.258064516129,381.45685
2017-04-30,447.1000000000001,439.71878
2017-05-31,497.87096774193554,637.44037
2017-06-30,501.1,1103.3367
2017-07-31,588.258064516129,1488.7168
2017-08-31,487.7741935483871,940.3948
2017-09-30,408.2333333333333,1848.408
2017-10-31,395.3870967741936,1988.8231
2017-11-30,438.1333333333333,809.86206
2017-12-31,465.67741935483866,362.75363
2018-01-31,438.9354838709677,298.19662
2018-02-28,405.3571428571428,295.47595
2018-03-31,447.7096774193548,321.4875
