date,R-XGB
1983-10-31,2031.3341
1983-11-30,947.32153
1983-12-31,380.22354
1984-01-31,266.3644
1984-02-29,271.4189
1984-03-31,310.045
1984-04-30,426.90225
1984-05-31,497.0755
1984-06-30,1041.7339
1984-07-31,2453.3215
1984-08-31,1534.4597
1984-09-30,852.55914
1984-10-31,866.91925
1984-11-30,495.3293
1984-12-31,282.81378
1985-01-31,209.69377
1985-02-28,184.94727
1985-03-31,232.1735
1985-04-30,346.00037
1985-05-31,438.3306
1985-06-30,658.4108
1985-07-31,1302.4729
1985-08-31,1012.80396
1985-09-30,2453.0154
1985-10-31,1221.9298
1985-11-30,524.7072
1985-12-31,278.85175
1986-01-31,213.02061
1986-02-28,214.37636
1986-03-31,267.19196
1986-04-30,408.30975
1986-05-31,862.253
1986-06-30,1149.1841
1986-07-31,1820.3745
1986-08-31,834.95087
1986-09-30,1184.608
1986-10-31,709.2015
1986-11-30,381.44772
1986-12-31,246.6759
1987-01-31,184.17365
1987-02-28,187.31749
1987-03-31,239.85916
1987-04-30,306.75772
1987-05-31,581.4438
1987-06-30,1132.2109
1987-07-31,1726.857
1987-08-31,1065.6176
1987-09-30,715.02905
1987-10-31,629.446
1987-11-30,391.83612
1987-12-31,205.92738
1988-01-31,189.60625
1988-02-29,177.30756
1988-03-31,237.23943
1988-04-30,360.93582
1988-05-31,461.41977
1988-06-30,807.37164
1988-07-31,932.85266
1988-08-31,639.3013
1988-09-30,837.9643
1988-10-31,1308.8267
1988-11-30,673.7744
1988-12-31,296.04715
1989-01-31,180.37167
1989-02-28,180.07568
1989-03-31,280.43204
1989-04-30,381.7893
1989-05-31,855.6031
1989-06-30,2412.8784
1989-07-31,2446.0176
1989-08-31,1948.7407
1989-09-30,1920.1117
1989-10-31,1280.9489
1989-11-30,701.8132
1989-12-31,367.8607
1990-01-31,278.91083
1990-02-28,282.7146
1990-03-31,312.38568
1990-04-30,386.15195
1990-05-31,740.9929
1990-06-30,836.64655
1990-07-31,839.1138
1990-08-31,870.026
1990-09-30,1005.18475
1990-10-31,745.91376
1990-11-30,439.97833
1990-12-31,220.94147
1991-01-31,172.02478
1991-02-28,175.25308
1991-03-31,210.97736
1991-04-30,267.4163
1991-05-31,462.67065
1991-06-30,587.7307
1991-07-31,963.1756
1991-08-31,1273.7262
1991-09-30,853.15
1991-10-31,737.54803
1991-11-30,470.3536
1991-12-31,244.51082
1992-01-31,194.2531
1992-02-29,173.7786
1992-03-31,203.44846
1992-04-30,382.61166
1992-05-31,493.63766
1992-06-30,812.08093
1992-07-31,1801.364
1992-08-31,1131.534
1992-09-30,1229.3274
1992-10-31,1125.8756
1992-11-30,489.45166
1992-12-31,244.47484
1993-01-31,205.45963
1993-02-28,207.5123
1993-03-31,267.7758
1993-04-30,495.0729
1993-05-31,749.61523
1993-06-30,1030.0453
1993-07-31,1548.1533
1993-08-31,1749.6582
1993-09-30,1274.0449
1993-10-31,899.3852
1993-11-30,497.86496
1993-12-31,255.31677
1994-01-31,197.69547
1994-02-28,195.15092
1994-03-31,250.22362
1994-04-30,498.3744
1994-05-31,697.963
1994-06-30,1230.2795
1994-07-31,1062.987
1994-08-31,742.12085
1994-09-30,768.94305
1994-10-31,666.5434
1994-11-30,419.03452
1994-12-31,201.41315
1995-01-31,181.56378
1995-02-28,172.59819
1995-03-31,200.18425
1995-04-30,413.05618
1995-05-31,787.5647
1995-06-30,613.5123
1995-07-31,638.3438
1995-08-31,1052.1356
1995-09-30,1040.7515
1995-10-31,806.96674
1995-11-30,481.11697
1995-12-31,234.2639
1996-01-31,184.8008
1996-02-29,179.54887
1996-03-31,222.27934
1996-04-30,319.8358
1996-05-31,589.8779
1996-06-30,829.3299
1996-07-31,793.8221
1996-08-31,809.0955
1996-09-30,716.86066
1996-10-31,664.78467
1996-11-30,425.06906
1996-12-31,196.62762
1997-01-31,171.58875
1997-02-28,159.68741
1997-03-31,210.22658
1997-04-30,309.85208
1997-05-31,808.19586
1997-06-30,811.1263
1997-07-31,920.64343
1997-08-31,768.1075
1997-09-30,481.7184
1997-10-31,527.66675
1997-11-30,353.8106
1997-12-31,198.38866
1998-01-31,163.82356
1998-02-28,159.09334
1998-03-31,197.06105
1998-04-30,427.79492
1998-05-31,629.23773
1998-06-30,603.8259
1998-07-31,1079.2004
1998-08-31,1329.9174
1998-09-30,1254.7028
1998-10-31,936.04895
1998-11-30,498.58066
1998-12-31,253.9585
1999-01-31,195.17336
1999-02-28,206.8014
1999-03-31,252.27914
1999-04-30,317.42447
1999-05-31,416.90494
1999-06-30,1503.5598
1999-07-31,2455.526
1999-08-31,1485.2705
1999-09-30,924.0929
1999-10-31,1171.2638
1999-11-30,657.13086
1999-12-31,294.34058
2000-01-31,212.09837
2000-02-29,194.34346
2000-03-31,262.2839
2000-04-30,389.24072
2000-05-31,472.33514
2000-06-30,997.469
2000-07-31,867.5653
2000-08-31,801.8353
2000-09-30,872.42053
2000-10-31,741.6121
2000-11-30,437.76068
2000-12-31,211.39644
2001-01-31,184.75624
2001-02-28,172.94424
2001-03-31,184.37013
2001-04-30,324.19254
2001-05-31,484.34357
2001-06-30,814.1155
2001-07-31,720.60754
2001-08-31,647.2925
2001-09-30,789.8436
2001-10-31,844.4117
2001-11-30,434.52194
2001-12-31,208.4169
2002-01-31,178.42146
2002-02-28,173.02148
2002-03-31,193.47499
2002-04-30,246.82411
2002-05-31,337.82056
2002-06-30,812.53436
2002-07-31,909.9502
2002-08-31,547.2639
2002-09-30,397.3599
2002-10-31,375.259
2002-11-30,261.6307
2002-12-31,192.04158
2003-01-31,177.24995
2003-02-28,186.95694
2003-03-31,186.67378
2003-04-30,254.41283
2003-05-31,407.75116
2003-06-30,655.3983
2003-07-31,883.6993
2003-08-31,1288.5955
2003-09-30,1494.5502
2003-10-31,1046.1045
2003-11-30,515.7014
2003-12-31,243.17178
2004-01-31,202.17024
2004-02-29,186.9748
2004-03-31,245.1689
2004-04-30,259.3227
2004-05-31,341.13794
2004-06-30,683.07825
2004-07-31,829.4071
2004-08-31,965.2981
2004-09-30,1167.1614
2004-10-31,980.96216
2004-11-30,489.74335
2004-12-31,247.94057
2005-01-31,190.58865
2005-02-28,187.2984
2005-03-31,231.67758
2005-04-30,343.4904
2005-05-31,619.5629
2005-06-30,840.4634
2005-07-31,1919.3981
2005-08-31,1649.0227
2005-09-30,1410.6606
2005-10-31,1801.5417
2005-11-30,695.51373
2005-12-31,331.17
2006-01-31,245.66418
2006-02-28,245.56093
2006-03-31,254.20457
2006-04-30,327.37234
2006-05-31,418.2571
2006-06-30,624.50214
2006-07-31,892.4156
2006-08-31,708.1642
2006-09-30,837.19946
2006-10-31,795.09686
2006-11-30,423.7939
2006-12-31,215.64336
2007-01-31,169.5848
2007-02-28,171.56157
2007-03-31,214.46242
2007-04-30,299.96655
2007-05-31,337.95258
2007-06-30,1213.0276
2007-07-31,1552.8007
2007-08-31,996.0223
2007-09-30,1160.4545
2007-10-31,928.9405
2007-11-30,516.1137
2007-12-31,259.9144
2008-01-31,201.73067
2008-02-29,202.3303
2008-03-31,252.73059
2008-04-30,387.702
2008-05-31,405.39145
2008-06-30,488.264
2008-07-31,859.8511
2008-08-31,1243.4124
2008-09-30,1025.5581
2008-10-31,1252.7183
2008-11-30,663.75995
2008-12-31,333.49234
2009-01-31,226.43126
2009-02-28,229.12468
2009-03-31,280.93384
2009-04-30,431.22147
2009-05-31,758.62036
2009-06-30,1157.3029
2009-07-31,1714.0767
2009-08-31,1687.8854
2009-09-30,1659.081
2009-10-31,1350.4753
2009-11-30,762.2292
2009-12-31,421.27063
2010-01-31,266.3546
2010-02-28,269.15967
2010-03-31,314.23648
2010-04-30,349.27264
2010-05-31,414.30466
2010-06-30,951.1987
2010-07-31,2201.4343
2010-08-31,1060.969
2010-09-30,762.8473
2010-10-31,634.0471
2010-11-30,472.8557
2010-12-31,229.45407
2011-01-31,190.64755
2011-02-28,171.89272
2011-03-31,222.66016
2011-04-30,380.86777
