date,E-XGB
2004-07-31,1257.6796
2004-08-31,1611.27
2004-09-30,1694.8425
2004-10-31,1350.5452
2004-11-30,666.34863
2004-12-31,301.4199
2005-01-31,197.27888
2005-02-28,204.12943
2005-03-31,240.85295
2005-04-30,343.3449
2005-05-31,734.64825
2005-06-30,1039.924
2005-07-31,1697.6991
2005-08-31,1673.0526
2005-09-30,1910.9183
2005-10-31,1644.4954
2005-11-30,742.068
2005-12-31,331.8773
2006-01-31,214.38278
2006-02-28,260.76184
2006-03-31,303.65048
2006-04-30,359.40985
2006-05-31,795.64294
2006-06-30,1175.8284
2006-07-31,1436.0721
2006-08-31,1266.0851
2006-09-30,1753.8512
2006-10-31,1214.3954
2006-11-30,654.6933
2006-12-31,274.94598
2007-01-31,217.27002
2007-02-28,188.35931
2007-03-31,237.54073
2007-04-30,344.04483
2007-05-31,525.3752
2007-06-30,1027.8904
2007-07-31,1461.6926
2007-08-31,1473.7611
2007-09-30,1523.8717
2007-10-31,1078.1031
2007-11-30,768.83655
2007-12-31,310.4887
2008-01-31,214.64294
2008-02-29,221.44994
2008-03-31,293.59155
2008-04-30,429.73074
2008-05-31,617.13245
2008-06-30,948.1382
2008-07-31,1173.9071
2008-08-31,1422.2214
2008-09-30,1281.5759
2008-10-31,1179.8615
2008-11-30,540.97174
2008-12-31,310.3844
2009-01-31,188.45561
2009-02-28,201.87045
2009-03-31,270.90128
2009-04-30,351.9796
2009-05-31,738.4386
2009-06-30,1179.0359
2009-07-31,1868.5446
2009-08-31,1623.2478
2009-09-30,2241.3823
2009-10-31,1296.2168
2009-11-30,654.7539
2009-12-31,343.49548
2010-01-31,229.20906
2010-02-28,230.45314
2010-03-31,343.93744
2010-04-30,348.64136
2010-05-31,724.2807
2010-06-30,1227.955
2010-07-31,1665.6293
2010-08-31,1572.4999
2010-09-30,1470.6951
2010-10-31,696.17883
2010-11-30,522.76526
2010-12-31,241.60721
2011-01-31,161.82108
2011-02-28,179.25479
2011-03-31,266.3628
2011-04-30,337.89456
2011-05-31,508.99988
2011-06-30,982.94037
2011-07-31,1808.7188
2011-08-31,1242.7604
2011-09-30,1504.6432
2011-10-31,1496.1749
2011-11-30,623.5019
2011-12-31,330.78433
2012-01-31,208.32924
2012-02-29,193.58151
2012-03-31,256.96124
2012-04-30,367.91293
2012-05-31,711.72095
2012-06-30,830.3413
2012-07-31,1691.5597
2012-08-31,1713.5393
2012-09-30,2034.2996
2012-10-31,997.89905
2012-11-30,610.0065
2012-12-31,342.17865
2013-01-31,214.99133
2013-02-28,179.11021
2013-03-31,323.5244
2013-04-30,331.95404
2013-05-31,569.2871
2013-06-30,1159.2812
2013-07-31,1814.7167
2013-08-31,1222.2126
2013-09-30,665.92487
2013-10-31,1038.1635
2013-11-30,408.1845
2013-12-31,213.55414
2014-01-31,185.7441
2014-02-28,198.2415
